title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
Agricola NO SPEECHES,380,13,0,12,0,35.0,2.0,7.0,11.0,24.0,12.0,1.0,1.0,2.0,6.0,6.0,5.0,4.0,5.0,60.0,2.0,5.0,23.0,3.0,2.0,85.0,20.0,27.0,15.0,2.0,216.0,2.0,151.0,0.5940054495912807
Agricola SPEECHES,63,3,0,2,0,10.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,13.0,0.0,2.0,3.0,0.0,0.0,9.0,1.0,7.0,1.0,0.0,40.0,2.0,20.0,0.7
Annales NO SPEECHES,5467,112,55,24,8,489.0,93.0,94.0,167.0,250.0,215.0,32.0,31.0,47.0,64.0,60.0,53.0,80.0,84.0,808.0,50.0,55.0,254.0,15.0,60.0,1269.0,347.0,474.0,187.0,21.0,3001.0,56.0,2354.0,0.5708683473389355
Annales SPEECHES,314,6,0,4,2,15.0,4.0,11.0,13.0,18.0,16.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,55.0,2.0,1.0,18.0,1.0,1.0,61.0,19.0,27.0,9.0,3.0,184.0,5.0,124.0,0.6136363636363636
Dialogus is mostly speeches,443,25,2,7,5,64.0,9.0,8.0,16.0,26.0,14.0,8.0,2.0,4.0,1.0,3.0,3.0,7.0,9.0,91.0,3.0,4.0,20.0,2.0,0.0,74.0,11.0,26.0,6.0,2.0,294.0,5.0,124.0,0.715311004784689
Germania has no speeches,460,5,1,4,0,55.0,7.0,13.0,26.0,24.0,12.0,3.0,4.0,4.0,8.0,8.0,5.0,8.0,6.0,77.0,5.0,9.0,28.0,0.0,3.0,78.0,25.0,28.0,10.0,4.0,305.0,5.0,150.0,0.6813186813186813
Historiae NO SPEECHES,3465,35,10,14,3,378.0,49.0,65.0,113.0,151.0,118.0,21.0,19.0,23.0,43.0,55.0,43.0,36.0,43.0,501.0,31.0,37.0,161.0,5.0,31.0,850.0,215.0,279.0,120.0,11.0,1923.0,32.0,1507.0,0.5699708454810496
Historiae SPEECHES,259,2,1,1,1,29.0,2.0,7.0,15.0,11.0,17.0,1.0,4.0,6.0,1.0,2.0,5.0,2.0,6.0,50.0,0.0,4.0,13.0,0.0,1.0,37.0,14.0,20.0,3.0,1.0,176.0,6.0,81.0,0.708171206225681
