title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
academica,228,6,0,3,2,20.0,4.0,4.0,6.0,19.0,7.0,3.0,7.0,4.0,4.0,5.0,1.0,3.0,4.0,27.0,0.0,3.0,21.0,4.0,1.0,26.0,7.0,38.0,2.0,1.0,221.0,1.0,1.0
arati phaenomena,250,3,0,3,0,3.0,3.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,6.0,94.0,3.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,3.0,7.0,3.0,9.0,79.0,0.0,231.0,16.0,1.0
arati prognotica,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,1.0
brutus,1655,141,73,7,54,79.0,18.0,4.0,73.0,145.0,33.0,18.0,49.0,15.0,12.0,7.0,7.0,7.0,22.0,235.0,3.0,7.0,212.0,9.0,9.0,106.0,28.0,392.0,9.0,2.0,1501.0,13.0,1.0
carmina fragmenta,125,0,0,0,0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,25.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,21.0,32.0,0.0,121.0,4.0,1.0
cato maior de senectute,550,27,11,0,15,28.0,7.0,3.0,18.0,75.0,10.0,12.0,20.0,2.0,5.0,4.0,4.0,1.0,6.0,84.0,2.0,2.0,57.0,1.0,5.0,38.0,12.0,113.0,5.0,1.0,515.0,8.0,1.0
commentarii causarum,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
de divinatione,1987,102,5,11,67,105.0,41.0,13.0,68.0,162.0,56.0,18.0,73.0,14.0,9.0,36.0,19.0,13.0,27.0,288.0,5.0,32.0,231.0,10.0,21.0,181.0,41.0,346.0,41.0,7.0,1857.0,28.0,1.0
de domo sua,809,65,13,8,44,73.0,20.0,3.0,28.0,79.0,20.0,10.0,35.0,5.0,3.0,4.0,3.0,14.0,9.0,77.0,1.0,7.0,145.0,7.0,4.0,66.0,12.0,102.0,4.0,3.0,734.0,10.0,1.0
de fato,349,19,0,2,4,23.0,6.0,1.0,15.0,34.0,8.0,6.0,10.0,2.0,3.0,4.0,4.0,6.0,3.0,58.0,2.0,4.0,45.0,2.0,4.0,19.0,5.0,57.0,4.0,2.0,327.0,3.0,1.0
de finibus,2758,90,7,20,59,157.0,45.0,22.0,106.0,217.0,75.0,30.0,99.0,19.0,20.0,14.0,22.0,25.0,23.0,404.0,11.0,37.0,402.0,24.0,25.0,202.0,45.0,578.0,23.0,11.0,2636.0,32.0,1.0
de haruspicum responso,423,21,6,3,9,36.0,17.0,3.0,10.0,60.0,11.0,6.0,22.0,7.0,4.0,4.0,0.0,2.0,8.0,46.0,0.0,1.0,62.0,6.0,2.0,39.0,3.0,41.0,5.0,3.0,398.0,4.0,1.0
de inventore,2250,61,0,18,23,157.0,17.0,20.0,95.0,208.0,113.0,33.0,51.0,31.0,33.0,27.0,24.0,34.0,63.0,203.0,7.0,39.0,467.0,9.0,28.0,152.0,48.0,256.0,18.0,13.0,2146.0,43.0,1.0
de iure civ in artem redig,2,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
de lege agraria,850,61,18,13,30,59.0,9.0,5.0,38.0,118.0,22.0,8.0,29.0,12.0,4.0,7.0,4.0,8.0,15.0,97.0,0.0,7.0,127.0,2.0,9.0,78.0,15.0,102.0,5.0,0.0,780.0,9.0,1.0
de lege agraria 1,149,7,1,0,6,13.0,0.0,1.0,8.0,16.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,1.0,30.0,0.0,2.0,16.0,2.0,19.0,0.0,0.0,141.0,1.0,1.0
de lege agraria 2,605,41,13,11,17,44.0,8.0,2.0,28.0,93.0,16.0,6.0,20.0,7.0,4.0,7.0,4.0,7.0,10.0,62.0,0.0,6.0,84.0,2.0,7.0,54.0,11.0,70.0,5.0,0.0,557.0,7.0,1.0
de lege agraria 3,96,13,4,2,7,2.0,1.0,2.0,2.0,9.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,13.0,0.0,0.0,8.0,2.0,13.0,0.0,0.0,82.0,1.0,1.0
de legibus,1223,111,3,56,18,96.0,35.0,15.0,47.0,64.0,26.0,7.0,26.0,10.0,6.0,8.0,5.0,8.0,9.0,221.0,0.0,12.0,113.0,6.0,9.0,86.0,30.0,250.0,13.0,3.0,1105.0,7.0,1.0
de natura deorum,2148,28,1,10,15,104.0,52.0,18.0,97.0,184.0,65.0,31.0,86.0,14.0,11.0,47.0,14.0,19.0,9.0,305.0,3.0,27.0,312.0,18.0,12.0,213.0,35.0,380.0,35.0,10.0,2101.0,19.0,1.0
de officiis,1895,81,21,9,25,99.0,32.0,13.0,84.0,156.0,27.0,39.0,89.0,18.0,8.0,15.0,4.0,18.0,15.0,285.0,5.0,10.0,259.0,19.0,9.0,153.0,42.0,382.0,10.0,8.0,1799.0,15.0,1.0
de optimo genere oratorum,107,3,0,0,3,4.0,2.0,0.0,7.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,20.0,0.0,0.0,17.0,0.0,2.0,8.0,2.0,25.0,2.0,1.0,103.0,1.0,1.0
de oratore,3368,150,32,47,47,208.0,63.0,21.0,134.0,379.0,104.0,67.0,177.0,34.0,14.0,31.0,23.0,36.0,48.0,430.0,7.0,31.0,475.0,34.0,36.0,282.0,57.0,463.0,20.0,13.0,3187.0,31.0,1.0
de partitione oratoria,600,12,0,3,9,47.0,12.0,2.0,30.0,49.0,17.0,15.0,18.0,5.0,5.0,13.0,3.0,12.0,10.0,83.0,1.0,1.0,86.0,2.0,1.0,60.0,14.0,88.0,1.0,7.0,582.0,6.0,1.0
